SQI,BlockGap_min,TrainDur_min,TimeGap_min,Avg_MAE_SBP,Avg_MAE_DBP,Fold1,Fold2,Fold3,Fold4,Fold5
Strict,3,3,5,10.997419,6.6123075,1.7712939,10.31527,18.442955,13.66794,10.789638
Strict,3,3,10,12.435775,7.459428,1.4057287,12.547365,14.707674,18.345768,15.172341
Strict,3,3,15,9.918406,6.3106856,2.6002195,9.89467,10.020982,15.115781,11.960377
Strict,3,5,0,5.529601,3.91582,1.2625557,7.183156,4.156856,10.895141,4.150298
Strict,3,5,5,10.785912,6.899414,2.565925,10.8308115,15.177942,13.550318,11.8045635
Strict,3,5,10,12.299947,6.7202787,5.8707294,8.726801,14.95273,16.445917,15.503554
Strict,3,5,15,10.153313,6.637816,2.0136812,8.413902,20.491404,10.420431,9.427149
Strict,3,10,0,7.296481,4.3788843,1.8849016,7.525457,8.0700655,10.437532,8.564453
Strict,3,10,5,10.640287,6.1553316,3.4368334,10.350864,13.16438,14.105087,12.144274
Strict,3,10,10,8.037257,5.158717,2.7829294,6.735383,9.039768,10.413775,11.214433
Strict,3,10,15,8.563643,5.6762094,1.6246508,5.1843348,21.166653,8.831197,6.011384
Strict,3,15,0,10.426884,6.287587,2.1523745,12.490112,12.625156,13.341646,11.525128
Strict,3,15,5,10.294858,6.2586036,2.0859377,8.823131,13.010285,14.504536,13.050402
Strict,3,15,10,8.876425,5.320019,3.5102165,7.8622556,12.467544,9.99302,10.549092
Strict,3,15,15,8.5222645,5.582842,1.462484,2.4924543,20.081612,10.9208355,7.653938
Strict,5,3,0,6.94271,5.2616835,1.3171074,10.127743,5.746717,11.553682,5.9683027
Strict,5,3,5,11.575596,7.226709,2.6305666,11.82163,17.968258,14.896196,10.561328
Strict,5,3,10,13.559184,8.1382065,9.971745,11.597674,15.591546,15.91399,14.720965
Strict,5,3,15,11.424632,7.0797515,1.2637522,12.003896,22.123394,11.464756,10.267366
Strict,5,5,0,6.292271,4.166497,1.6703038,12.518381,7.064637,5.363969,4.8440647
Strict,5,5,5,12.055048,6.6667466,3.7859957,14.114341,16.612982,13.6518,12.110116
Strict,5,5,10,12.341317,6.611397,6.6449056,8.832575,15.932779,13.99258,16.303745
Strict,5,5,15,10.444483,6.531607,1.9597956,9.2645445,21.900019,10.875044,8.223009
Strict,5,10,0,8.617926,5.172384,2.0516508,13.636807,9.052394,10.426985,7.92179
Strict,5,10,5,10.778128,6.4207926,2.175925,12.232449,12.510868,13.889765,13.081633
Strict,5,10,10,9.248934,5.0930967,2.9401295,7.9457564,10.222671,12.799011,12.337097
Strict,5,10,15,8.415884,5.2931848,1.5765167,5.287309,21.240362,7.957934,6.0172944
Strict,5,15,0,10.947494,6.023751,4.3990874,11.334444,13.735656,13.414188,11.854092
Strict,5,15,5,11.08543,6.3558626,3.258812,11.184077,13.992121,14.530666,12.461474
Strict,5,15,10,7.467201,4.765057,1.3137566,7.3113003,8.980505,10.749941,8.980503
Strict,5,15,15,9.130864,6.132553,1.4468694,3.7201085,21.523527,9.087478,9.876333
Strict,10,3,0,7.823428,4.4007406,1.8340638,13.001544,9.351735,9.643785,5.286009
Strict,10,3,5,13.184506,7.6327424,5.3248467,18.878208,16.712744,13.917527,11.089204
Strict,10,3,10,11.128764,6.721625,1.2833759,12.757908,10.865978,15.298406,15.438156
Strict,10,3,15,11.879927,7.070349,1.5955225,10.833079,22.222265,12.119397,12.629369
Strict,10,5,0,8.05606,5.3735557,2.2663524,13.973389,9.880755,10.643808,3.515995
Strict,10,5,5,12.505237,7.2523346,6.192933,14.405803,13.400003,16.821205,11.706236
Strict,10,5,10,10.446198,6.1317525,1.7277318,13.062951,11.285298,12.168517,13.986491
Strict,10,5,15,10.272194,6.3940773,1.5442429,9.750792,22.03774,8.15149,9.876704
Strict,10,10,0,9.933727,5.8638477,2.1838386,14.238406,14.198169,10.702041,8.346181
Strict,10,10,5,10.483381,5.9389286,2.420562,11.84347,11.054338,13.586362,13.5121765
Strict,10,10,10,8.091313,4.6446986,1.2291377,11.53733,8.005658,9.833695,9.850747
Strict,10,10,15,8.969995,5.5115232,1.037353,8.24298,20.981476,6.6256776,7.962487
Strict,10,15,0,10.976137,6.365657,2.4064562,13.461155,13.100171,13.117721,12.795186
Strict,10,15,5,10.945623,6.137407,3.306543,10.502096,14.037555,12.010441,14.871485
Strict,10,15,10,10.5549755,6.2059045,1.692675,9.791905,21.9648,8.373057,10.952442
Strict,10,15,15,10.447279,6.0482397,1.0647103,6.5167522,23.674294,11.187342,9.793296
